shops,group
ספא דניאל רמת רחל,15% הנחה ברשתות
ספא מלון אלמא,15% הנחה ברשתות
אחוזת הספא רחובות,15% הנחה ברשתות
ספא מלון לאונרדו נגב באר שבע,15% הנחה ברשתות
ספא שייה,15% הנחה ברשתות
ספא קלרינס,15% הנחה ברשתות
ספא חוף הכרמל,15% הנחה ברשתות
ספא לוטוס מלון מעלה החמישה,15% הנחה ברשתות
ספא רויאל,15% הנחה ברשתות
ספא מיראבל פלאזה,15% הנחה ברשתות
מדיקל ספא סנטר,15% הנחה ברשתות
וי קי קליניק,15% הנחה ברשתות
איש הענבים,15% הנחה ברשתות
מבשלים חוויה ,15% הנחה ברשתות
יקב גוש עציון ,15% הנחה ברשתות
יקב דלתון ,15% הנחה ברשתות
יקב טוליפ,15% הנחה ברשתות
יקב בן נון,15% הנחה ברשתות
יקב ברקן ,15% הנחה ברשתות
יקב צובה,15% הנחה ברשתות
יקב יפו,15% הנחה ברשתות
בירה אלכסנדר,15% הנחה ברשתות
יקב הר אודם,15% הנחה ברשתות
יקב אלבר,15% הנחה ברשתות
YA - יקב יה ,15% הנחה ברשתות
מיקסטה קוקטייל,15% הנחה ברשתות
בועה סדנאות בירה ,15% הנחה ברשתות
מרכז קולינרי Razberry ,15% הנחה ברשתות
מזקקת טינקרס – Thinkers Distillery,15% הנחה ברשתות
אבן רם ליקרים,15% הנחה ברשתות
מועדון היין אונליין,15% הנחה ברשתות
ביר באזר אונליין,15% הנחה ברשתות
בטן מלאה,15% הנחה ברשתות
גבינות ברמות,15% הנחה ברשתות
יקב תבור,15% הנחה ברשתות
יקב שדות,15% הנחה ברשתות
שוקה סיורים קולינריים,15% הנחה ברשתות
NS חוויה קולינרית,15% הנחה ברשתות
סינמה סיטי,15% הנחה ברשתות
תיאטרון בית לסין,15% הנחה ברשתות
תיאטרון חיפה ,15% הנחה ברשתות
תיאטרון אספקלריא ,15% הנחה ברשתות
מרכז הבמה גני תקווה ,15% הנחה ברשתות
תיאטרון מוצקין ,15% הנחה ברשתות
התיאטרון שלנו ,15% הנחה ברשתות
היכל התרבות יבנה ,15% הנחה ברשתות
"התזמורת הסימפונית ראשל\צ""",15% הנחה ברשתות
היכל התרבות נס ציונה ,15% הנחה ברשתות
מדיטק חולון ,15% הנחה ברשתות
היכל התרבות ראשון לציון ,15% הנחה ברשתות
היכל אומנויות הבמה הרצליה ,15% הנחה ברשתות
היכל התרבות כרמיאל,15% הנחה ברשתות
הבימה,15% הנחה ברשתות
תיאטרון נדנדה ,15% הנחה ברשתות
סינמטק תל אביב,15% הנחה ברשתות
המשכן לאמנויות הבמה שוהם,15% הנחה ברשתות
משכן אומנויות הבמה אשדוד,15% הנחה ברשתות
היכל התרבות לוד,15% הנחה ברשתות
היכל התרבות נהריה,15% הנחה ברשתות
מרכז נא לגעת,15% הנחה ברשתות
היכל התרבות נתניה,15% הנחה ברשתות
ורדינון אמן הילדים,15% הנחה ברשתות
בליץ,15% הנחה ברשתות
הכרטיס,15% הנחה ברשתות
נופיקי,15% הנחה ברשתות
לירון האוירון ,15% הנחה ברשתות
"רוגבי השקעות בע\מ""",15% הנחה ברשתות
סינמטק ירושלים,15% הנחה ברשתות
הקאמרי,15% הנחה ברשתות
תיאטרון ירושלים,15% הנחה ברשתות
המרכז למוסיקה ירושלים,15% הנחה ברשתות
הזירה הבין תחומית,15% הנחה ברשתות
תיאטרון רמלה ,15% הנחה ברשתות
תיאטרון אורנה פורת,15% הנחה ברשתות
קאמל קומדי קלאב,15% הנחה ברשתות
מכללת ג'אסט מיוזיק,15% הנחה ברשתות
סינמטק חיפה,15% הנחה ברשתות
תיאטרון השחר,15% הנחה ברשתות
התזמורת הסימפונית חיפה ,15% הנחה ברשתות
תיאטרון ילדים לנצח,15% הנחה ברשתות
דיוות וג'נטלמנים,15% הנחה ברשתות
מלון ספרה,15% הנחה ברשתות
דומינוס פיצה אונליין,20% הנחה במסעדות
קפה גרג,20% הנחה במסעדות
קפה קפה,20% הנחה במסעדות
לחם ארז,20% הנחה במסעדות
קפה מנדרין,20% הנחה במסעדות
קפה נטו ,20% הנחה במסעדות
פיצה עגבנייה ,20% הנחה במסעדות
בטר בורגר ,20% הנחה במסעדות
איז קפה,20% הנחה במסעדות
איטלקיה בתחנה,20% הנחה במסעדות
אנרג'וסר,20% הנחה במסעדות
בית הפנקייק TLV,20% הנחה במסעדות
גורילה,20% הנחה במסעדות
הבוסתן,20% הנחה במסעדות
מועדון ארוחת הבוקר,20% הנחה במסעדות
מילקה קפה,20% הנחה במסעדות
נורי סושי בר,20% הנחה במסעדות
קזינו סן רמו מסעדה ,20% הנחה במסעדות
קפה פולה ,20% הנחה במסעדות
ריבר נודלס בר,20% הנחה במסעדות
רנה ביסטרו בר קפה  ,20% הנחה במסעדות
שטרודל,20% הנחה במסעדות
תופייני קונדיטוריה וקפה ,20% הנחה במסעדות
אביבים בייקרי,20% הנחה במסעדות
אייר קפה ,20% הנחה במסעדות
אצה סושי בר ,20% הנחה במסעדות
ג'ויה מסעדה איטלקית ,20% הנחה במסעדות
מאפה נאמן,20% הנחה במסעדות
באבא יאגה,20% הנחה במסעדות
בוצ'רי אחוזת הבשר,20% הנחה במסעדות
בוצ'רי דה ברילוצ'ה,20% הנחה במסעדות
ביגה רשת בתי קפה ,20% הנחה במסעדות
ברד אנד ברקפסט בית קפה,20% הנחה במסעדות
חוות התבלינים בגלבוע ,20% הנחה במסעדות
סינטה מסעדת בשרים,20% הנחה במסעדות
סקובר מסעדה ,20% הנחה במסעדות
קפה נמרוד - אגמון מרקט,20% הנחה במסעדות
מסעדת אווזי ,20% הנחה במסעדות
איטלקיה בפשפשים,20% הנחה במסעדות
גאפן גאפן,20% הנחה במסעדות
קפה נמרוד - נמל תל אביב,20% הנחה במסעדות
פאב 55 בירה אוכל ובירה,20% הנחה במסעדות
בלאק,20% הנחה במסעדות
אל קפה,20% הנחה במסעדות
דארנא עכו ,20% הנחה במסעדות
ווק אווי,20% הנחה במסעדות
נמסטה,20% הנחה במסעדות
סורה סושי,20% הנחה במסעדות
קפה לוגאנו,20% הנחה במסעדות
מיה ביץ,20% הנחה במסעדות
סמוראיו סושי בר עפולה,20% הנחה במסעדות
סיקרט בורגר ,20% הנחה במסעדות
קפה קפית,20% הנחה במסעדות
וארקדה,20% הנחה במסעדות
פטריקס מתחם האגם,20% הנחה במסעדות
פטריקס פתח תקווה   ,20% הנחה במסעדות
מקס ברנר,20% הנחה במסעדות
קקאו,20% הנחה במסעדות
Mike's Place,20% הנחה במסעדות
La Vaca Loca,20% הנחה במסעדות
אווז הזהב,20% הנחה במסעדות
שיפודי הכרם,20% הנחה במסעדות
גאטוס,20% הנחה במסעדות
פיאצה גרנדה,20% הנחה במסעדות
פרליטה,20% הנחה במסעדות
הצדף,20% הנחה במסעדות
R-11 מסעדת,20% הנחה במסעדות
בליקר בייקרי - באר יעקב,20% הנחה במסעדות
בורגר סטיישן,20% הנחה במסעדות
סדפה,20% הנחה במסעדות
ללוש בראסרי באר שבע,20% הנחה במסעדות
נגיסה עפולה,20% הנחה במסעדות
חצר עין כרם,20% הנחה במסעדות
גוסטינו,20% הנחה במסעדות
איטליאנו דלי קפה,20% הנחה במסעדות
לולה הכשרה על הים,20% הנחה במסעדות
פישנזון,20% הנחה במסעדות
קאזה דו ברזיל אילת ,20% הנחה במסעדות
קאסה דל פפה,20% הנחה במסעדות
סיאסטה קפה,20% הנחה במסעדות
נולה,20% הנחה במסעדות
נאפיס חולון,20% הנחה במסעדות
פלומינו,20% הנחה במסעדות
רוסטרס,20% הנחה במסעדות
"הודו הקטנה ב\ש""",20% הנחה במסעדות
מבשלת בירה הגיבור,20% הנחה במסעדות
גיגסי ספורט בר,20% הנחה במסעדות
איסקנדר,20% הנחה במסעדות
בליקר בייקרי - כפר סבא,20% הנחה במסעדות
בליקר בייקרי - רמת גן,20% הנחה במסעדות
בליקר בייקרי - רעננה,20% הנחה במסעדות
מסעדת גרסיה,20% הנחה במסעדות
קיקו פיצה,20% הנחה במסעדות
קאסה לונה אילת,20% הנחה במסעדות
קפה אופטימי אילת,20% הנחה במסעדות
אשכרה בשרים אילת,20% הנחה במסעדות
מרינה ביי,20% הנחה במסעדות
יומנגס,20% הנחה במסעדות
גסטה,20% הנחה במסעדות
בשורה ,20% הנחה במסעדות
טגלוס,20% הנחה במסעדות
מתאו,20% הנחה במסעדות
שוקו לולו,20% הנחה במסעדות
פינתי,20% הנחה במסעדות
דלימארק,20% הנחה במסעדות
אווז הזהב אקספרס,20% הנחה במסעדות
לוקנדה,20% הנחה במסעדות
באלי בורגר,20% הנחה במסעדות
פאב הדובים,20% הנחה במסעדות
מסעדת דוקא,20% הנחה במסעדות
הסושיה אילת,20% הנחה במסעדות
פיקולו אילת,20% הנחה במסעדות
קפטן הוק,20% הנחה במסעדות
דוניה רוסה,20% הנחה במסעדות
צ׳וצ׳ו פאטיו,20% הנחה במסעדות
ראנץ האוס ים המלח,20% הנחה במסעדות
מבשלת ליבריה,20% הנחה במסעדות
לימאני ביסטרו,20% הנחה במסעדות
אומינו סושי,20% הנחה במסעדות
מיט טיים,20% הנחה במסעדות
TLV ספרינקלס בייקרי ,20% הנחה במסעדות
אינדירה ,20% הנחה במסעדות
גנדי מסעדה ,20% הנחה במסעדות
Just Meat,20% הנחה במסעדות
פסאו ,20% הנחה במסעדות
שיפודים אקספרס,20% הנחה במסעדות
אילת Us crispy chicken ,20% הנחה במסעדות
לנדוור,20% הנחה במסעדות
סומאק,20% הנחה במסעדות
סמוראיו סושי בר חיפה,20% הנחה במסעדות
לה קרנה,20% הנחה במסעדות
נגיסה נתניה,20% הנחה במסעדות
מסעדת פלייגראונד,20% הנחה במסעדות
טל בורגר,20% הנחה במסעדות
סושי בוקס,20% הנחה במסעדות
החברים גריל ישראלי ,20% הנחה במסעדות
פיקה בייקרי,20% הנחה במסעדות
בורקס הבולגרי,20% הנחה במסעדות
בליקר בייקרי - קרית גת,20% הנחה במסעדות
 לצ'ה פטיסרי ,20% הנחה במסעדות
חמנייה ברודצקי 17,20% הנחה במסעדות
בוקה אחד העם,20% הנחה במסעדות
מכבי 40,20% הנחה במסעדות
Villa Mare TLV מסעדת ,20% הנחה במסעדות
פועה - קפה ומסעדה,20% הנחה במסעדות
אגאדיר,20% הנחה במסעדות
אסאדו במדבר,20% הנחה במסעדות
לאר דו פאן בייקרי,20% הנחה במסעדות
ברביס,20% הנחה במסעדות
Beezoo,20% הנחה במסעדות
לימונצ'לו,20% הנחה במסעדות
פיצה סטורי,20% הנחה במסעדות
קפה לוסיל,20% הנחה במסעדות
בלי קמח בייקרי,20% הנחה במסעדות
ביסטרו ישראלי Olive ,20% הנחה במסעדות
מלכה וציפי,20% הנחה במסעדות
סמיר ברמלה,20% הנחה במסעדות
פראטלי נתניה,20% הנחה במסעדות
בייקרי Patissereem,20% הנחה במסעדות
מייסון בורגר,20% הנחה במסעדות
נוקטורנו,20% הנחה במסעדות
שווארמה פלפלת המסעדה,20% הנחה במסעדות
מרכז הכרמל Wok Street ,20% הנחה במסעדות
רמבם Wok Street ,20% הנחה במסעדות
ג'ויה סושי גריל בר,20% הנחה במסעדות
ביסראבק,20% הנחה במסעדות
איל גוסטו חיפה  ,20% הנחה במסעדות
לוקו,20% הנחה במסעדות
Donna La Cucina,20% הנחה במסעדות
פיצה בוכמנס מודיעין,20% הנחה במסעדות
זוקו מגדלי לייף,20% הנחה במסעדות
קפטן בורגר,20% הנחה במסעדות
זוקו יגאל אלון ,20% הנחה במסעדות
Rendez Vous,20% הנחה במסעדות
יוגורטה,20% הנחה במסעדות
Burger Box,20% הנחה במסעדות
עלאש בית של בשר,20% הנחה במסעדות
אנטריקוטי,20% הנחה במסעדות
סושי בוקס מודיעין,20% הנחה במסעדות
דדה בר פלורנטין,20% הנחה במסעדות
אנטיליה  ,20% הנחה במסעדות
המשביר מסעדה ,20% הנחה במסעדות
"בוקריה פ\ת""",20% הנחה במסעדות
Flame TLV,20% הנחה במסעדות
"טומהוק ב\ש""",20% הנחה במסעדות
קאבלרו,20% הנחה במסעדות
למפור,20% הנחה במסעדות
Kitkat Fairytale Bakery,20% הנחה במסעדות
בטר בורגר קרית אונו,20% הנחה במסעדות
בבא אילת,20% הנחה במסעדות
סולו סושי,20% הנחה במסעדות
הודו הגדולה,20% הנחה במסעדות
קפה נוקי,20% הנחה במסעדות
מסעדת פאוזה,20% הנחה במסעדות
בורגרסבר,20% הנחה במסעדות
TLV פסיליטי ,20% הנחה במסעדות
לוטם דרעי בייקרי & ביסטרו שף,20% הנחה במסעדות
נגיסה לוד ,20% הנחה במסעדות
ביגה הקניון הגדול פתח תקווה ,20% הנחה במסעדות
פיצה סנטרל,20% הנחה במסעדות
מלון ספרה,20% הנחה במסעדות
